,Conditional FD from ['m1'] to m0,"Conditional FD from ['m1', 'm2', 'm3', 'm4'] to m0","Conditional FD from ['m1', 'm2', 'm3'] to m0","Conditional FD from ['m1', 'm2'] to m0",missing_ratio,keep_incomplete,Model
27,119.49504881546972,122.15983271533344,117.86204350193476,119.588551790353,0.5,True,MVAE
28,99.74377080400438,127.63572757383749,110.90131444384292,98.651228475668,0.2,True,MVAE
29,207.8400719361767,208.9005800492324,208.57897449650173,208.3363912844567,0.5,False,MVAE
30,94.88180108360046,96.3719184494832,96.05464424237834,94.88330247401508,0.2,False,MVAE
31,92.85732693585066,92.8306219801209,93.3414081735873,92.73146949172394,0.0,False,MVAE
32,130.90889161950906,133.4239820291843,132.81519441259343,138.72376103727436,0.5,True,MVAE
33,91.43120020132824,104.57828539545687,102.2290804163748,98.53837960264444,0.2,True,MVAE
34,166.68567976427835,167.24584338039944,167.1723742263725,165.09128402735575,0.5,False,MVAE
35,95.8266696839637,97.06946592585332,97.14402627049452,97.11274482085048,0.2,False,MVAE
36,270.97999651126383,271.04462617284065,270.7496498592574,271.1754719378272,0.0,False,MVAE
37,117.7645934850571,113.18799634720142,117.89300043659053,118.1575272204118,0.5,True,MVAE
38,101.2002446589014,106.83278214293956,112.6728299942056,104.24354017082824,0.2,True,MVAE
39,196.29026874563013,195.9998897142479,195.90042318436664,195.88308455725556,0.5,False,MVAE
40,108.3501373720316,109.23166315438664,107.54209742206984,108.05875515347408,0.2,False,MVAE
41,90.54204278999056,91.05850193075082,91.12545013398308,90.83296477966388,0.0,False,MVAE
0,272.64015514299246,277.86297151315733,274.380796179452,271.743845116124,0.5,False,JMVAE
1,117.41139917557098,144.69162640080907,140.107038250382,136.76693905979062,0.2,False,JMVAE
2,123.60238178548128,193.41776106914384,178.69512266111602,158.2682296194949,0.0,False,JMVAE
3,221.96324723459617,250.95780730704547,241.3024512882742,233.87129800254831,0.5,False,JMVAE
4,116.1428555643351,149.2754571047824,143.85570374324175,137.65732746308265,0.2,False,JMVAE
5,99.536128259601,169.8293808316222,152.4746167510507,129.3717062345945,0.0,False,JMVAE
6,253.29064290604265,294.82322309897535,284.6045079929297,274.6048825141533,0.5,False,JMVAE
7,121.11741065215256,152.85182003921176,147.34031503191625,142.74159594422747,0.2,False,JMVAE
8,119.8604082906628,181.4350678222782,164.91152714556804,148.81644112728844,0.0,False,JMVAE
9,235.40572388116144,248.06523101647804,238.9800657954476,234.7630025777679,0.5,False,JMVAE
10,122.18232791817375,151.35295180866706,146.546441638261,141.69522932740605,0.2,False,JMVAE
11,121.27496945238336,181.68593183444307,167.4785311512503,148.96024492374687,0.0,False,JMVAE
